type size particles iterations skipped time
m 375 21094 100000 804 182.6479
m 375 21094 100000 482 5.083716
m 375 21094 100000 618 3.846703
m 375 21094 100000 733 3.665559
m 375 21094 100000 712 198.9611
m 375 21094 100000 516 5.088764
m 375 21094 100000 617 3.952042
m 375 21094 100000 662 3.311079
m 375 21094 100000 761 202.2399
m 500 12500 1000 12399 0.335678
m 500 12500 1000 12419 0.275623
m 500 12500 1000 12434 0.271171
m 500 12500 1000 12429 1.583725
m 500 12500 1000 12399 0.345187
m 500 12500 1000 12438 0.298594
m 500 12500 1000 12448 0.245338
m 500 12500 1000 12449 0.828831
m 500 12500 1000 12434 0.334006
m 500 12500 1000 12426 0.253881
m 500 12500 1000 12433 0.598933
m 500 12500 1000 12437 1.152252
m 500 12500 1000 12440 0.323268
m 500 12500 1000 12447 0.268262
m 500 12500 1000 12434 0.446103
m 500 12500 1000 12443 0.934736
m 500 12500 10000 11209 3.150153
m 500 12500 10000 11376 2.199509
m 500 12500 10000 11444 2.252111
m 500 12500 10000 11533 12.29625
m 500 12500 10000 11333 3.165029
m 500 12500 10000 11373 2.219667
m 500 12500 10000 11550 2.244844
m 500 12500 10000 11556 11.43735
m 500 12500 10000 11409 3.173131
m 500 12500 10000 11411 2.166436
m 500 12500 10000 11456 2.239698
m 500 12500 10000 11447 11.99616
m 500 12500 10000 11289 3.193043
m 500 12500 10000 11410 2.165164
m 500 12500 10000 11478 2.217402
m 500 12500 10000 11499 12.80881
m 500 12500 100000 2261 12.58616
m 500 12500 100000 2698 9.717708
m 500 12500 100000 2759 8.571005
m 500 12500 100000 2743 102.0639
m 500 12500 100000 2330 12.81379
m 500 12500 100000 2551 9.519762
m 500 12500 100000 2474 7.935986
m 500 12500 100000 2764 98.72281
m 500 12500 100000 2342 12.6491
m 500 12500 100000 2622 9.543458
m 500 12500 100000 2586 8.133935
m 500 12500 100000 2842 101.1831
m 500 12500 100000 2427 12.95027
m 500 12500 100000 2574 9.268154
m 500 12500 100000 2666 8.344025
m 500 12500 100000 2925 102.6559
m 500 25000 1000 24721 0.686702
m 500 25000 1000 24766 0.538128
m 500 25000 1000 24776 0.743466
m 500 25000 1000 24800 3.070765
m 500 25000 1000 24693 0.69196
m 500 25000 1000 24707 0.510101
m 500 25000 1000 24800 0.972807
m 500 25000 1000 24824 2.824339
m 500 25000 1000 24757 0.672158
m 500 25000 1000 24791 0.509222
m 500 25000 1000 24791 0.7287
m 500 25000 1000 24808 2.785803
m 500 25000 1000 24732 0.673644
m 500 25000 1000 24766 0.482812
m 500 25000 1000 24801 1.042374
m 500 25000 1000 24818 2.499133
m 500 25000 10000 20604 6.006444
m 500 25000 10000 21237 4.095337
m 500 25000 10000 21500 3.711539
m 500 25000 10000 21871 35.48616
m 500 25000 10000 20966 5.967299
m 500 25000 10000 21216 4.150229
m 500 25000 10000 21575 4.048276
m 500 25000 10000 21572 37.41624
m 500 25000 10000 21023 5.944244
m 500 25000 10000 21085 4.182779
m 500 25000 10000 21574 3.962764
m 500 25000 10000 21772 34.82881
m 500 25000 10000 20841 5.950369
m 500 25000 10000 21602 4.111837
m 500 25000 10000 21889 3.835419
m 500 25000 10000 21776 36.47643
m 500 25000 100000 2273 14.31889
m 500 25000 100000 2471 10.64755
m 500 25000 100000 2742 9.643929
m 500 25000 100000 2822 223.2719
m 500 25000 100000 2345 14.30408
m 500 25000 100000 2668 11.06896
m 500 25000 100000 2715 9.862604
m 500 25000 100000 2840 225.2799
m 500 25000 100000 2462 15.02737
m 500 25000 100000 2566 10.74959
m 500 25000 100000 2836 9.545097
m 500 25000 100000 2968 225.2199
m 500 25000 100000 2435 14.67554
m 500 25000 100000 2614 10.80855
m 500 25000 100000 2519 9.38537
m 500 25000 100000 2928 223.7799
m 500 37500 1000 36898 1.053951
m 500 37500 1000 36967 0.792756
m 500 37500 1000 37057 0.915814
m 500 37500 1000 37125 5.038865
m 500 37500 1000 36891 1.015567
m 500 37500 1000 36918 0.733551
m 500 37500 1000 37132 0.981467
m 500 37500 1000 37162 5.053075
m 500 37500 1000 36947 1.011614
m 500 37500 1000 37011 0.749441
m 500 37500 1000 37064 1.168421
m 500 37500 1000 37086 5.820419
m 500 37500 1000 36911 1.001374
m 500 37500 1000 37122 0.728009
m 500 37500 1000 36955 1.150921
m 500 37500 1000 37136 4.528277
m 500 37500 10000 27848 8.416262
m 500 37500 10000 28441 5.771023
m 500 37500 10000 29693 5.250854
m 500 37500 10000 28877 91.74798
m 500 37500 10000 28342 8.281521
m 500 37500 10000 28865 5.729965
m 500 37500 10000 29743 5.350039
m 500 37500 10000 29640 83.44266
m 500 37500 10000 28206 8.286351
m 500 37500 10000 28484 5.841067
m 500 37500 10000 29449 5.447162
m 500 37500 10000 29017 90.78798
m 500 37500 10000 28139 8.52155
m 500 37500 10000 28827 5.87116
m 500 37500 10000 28944 5.248959
m 500 37500 10000 29155 87.02398
m 500 37500 100000 2274 14.79668
m 500 37500 100000 2673 11.23435
m 500 37500 100000 2783 10.27412
m 500 37500 100000 2831 345.2159
m 500 37500 100000 2345 14.64947
m 500 37500 100000 2723 11.26506
m 500 37500 100000 2665 9.841501
m 500 37500 100000 2694 350.1999
m 500 37500 100000 2462 15.33109
m 500 37500 100000 2680 11.36822
m 500 37500 100000 2667 10.13159
m 500 37500 100000 2871 352.3679
m 500 37500 100000 2438 15.18378
m 500 37500 100000 2636 11.4736
m 500 37500 100000 3007 10.73056
m 500 37500 100000 2886 350.211
