type size particles iterations skipped time
c 200 16 1000 3373 0.003581
c 200 8 1000 3292 0.004414
c 200 4 1000 3447 0.00625
c 200 32 1000 3362 0.003702
c 200 16 1000 3281 0.003964
c 200 8 1000 3406 0.004196
c 200 4 1000 3238 0.005996
c 200 32 1000 3420 0.00377
c 200 16 1000 3468 0.003724
c 200 8 1000 3388 0.00411
c 200 4 1000 3345 0.006194
c 200 32 10000 0 0.009601
c 200 16 10000 0 0.011524
c 200 8 10000 0 0.011824
c 200 4 10000 0 0.014256
c 200 32 10000 0 0.01186
c 200 16 10000 0 0.009707
c 200 8 10000 0 0.013313
c 200 4 10000 0 0.018569
c 200 32 10000 0 0.011462
c 200 16 10000 0 0.009926
c 200 8 10000 0 0.012182
c 200 4 10000 0 0.012613
c 200 32 10000 0 0.011405
c 200 16 10000 0 0.014246
c 200 8 10000 0 0.012869
c 200 4 10000 0 0.014506
c 200 32 100000 0 0.010174
c 200 16 100000 0 0.011079
c 200 8 100000 0 0.012784
c 200 4 100000 0 0.013488
c 200 32 100000 0 0.01039
c 200 16 100000 0 0.010155
c 200 8 100000 0 0.012787
c 200 4 100000 0 0.018043
c 200 32 100000 0 0.008478
c 200 16 100000 0 0.010871
c 200 8 100000 0 0.010848
c 200 4 100000 0 0.016242
c 200 32 100000 0 0.014738
c 200 16 100000 0 0.023197
c 200 8 100000 0 0.012322
c 200 4 100000 0 0.016349
c 200 47 1000 1594 0.003721
c 200 24 1000 869 0.004267
c 200 12 1000 1000 0.004268
c 200 6 1000 1070 0.005386
c 200 47 1000 1065 0.003708
c 200 24 1000 1413 0.003984
c 200 12 1000 1389 0.003979
c 200 6 1000 1231 0.005954
c 200 47 1000 1292 0.003902
c 200 24 1000 1215 0.003979
c 200 12 1000 750 0.004361
c 200 6 1000 700 0.005374
c 200 47 1000 1525 0.003881
c 200 24 1000 748 0.003771
c 200 12 1000 1422 0.004031
c 200 6 1000 1985 0.00614
c 200 47 10000 0 0.004235
c 200 24 10000 0 0.003672
c 200 12 10000 0 0.00402
c 200 6 10000 0 0.005729
c 200 47 10000 0 0.003923
c 200 24 10000 0 0.003988
c 200 12 10000 0 0.004003
c 200 6 10000 0 0.005413
c 200 47 10000 0 0.003945
c 200 24 10000 0 0.003613
c 200 12 10000 0 0.003491
c 200 6 10000 0 0.00624
c 200 47 10000 0 0.00447
c 200 24 10000 0 0.003586
c 200 12 10000 0 0.004048
c 200 6 10000 0 0.006535
c 200 47 100000 0 0.004152
c 200 24 100000 0 0.004568
c 200 12 100000 0 0.00458
c 200 6 100000 0 0.005194
c 200 47 100000 0 0.003742
c 200 24 100000 0 0.004368
c 200 12 100000 0 0.004121
c 200 6 100000 0 0.006385
c 200 47 100000 0 0.004727
c 200 24 100000 0 0.003815
c 200 12 100000 0 0.004934
c 200 6 100000 0 0.008867
c 200 47 100000 0 0.004927
c 200 24 100000 0 0.004167
c 200 12 100000 0 0.003933
c 200 6 100000 0 0.005543
