size,particles_mpi,iterations,num_process_mpi,mean_time_serial,mean_time_mpi,speedup,efficiency
600,108000,100000,6,29.461,13.5935,2.17,0.3617
600,72000,100000,2,29.461,26.6068,1.11,0.555
600,144000,100000,4,29.461,19.6466,1.5,0.375
600,180000,100000,5,29.461,17.8815,1.65,0.33
600,216000,100000,6,29.461,16.7243,1.76,0.2933
600,108000,100000,2,29.461,27.1179,1.09,0.545
600,216000,100000,4,29.461,20.735,1.42,0.355
600,270000,100000,5,29.461,18.2077,1.62,0.324
600,324000,100000,6,29.461,17.1529,1.72,0.2867
600,36000,100000,2,29.461,23.0865,1.28,0.64
600,72000,100000,4,29.461,16.6498,1.77,0.4425
600,90000,100000,5,29.461,14.8401,1.99,0.398
600,108000,100000,6,29.461,13.5935,2.17,0.3617
600,72000,100000,2,29.461,26.6068,1.11,0.555
600,144000,100000,4,29.461,19.6466,1.5,0.375
600,180000,100000,5,29.461,17.8815,1.65,0.33
600,216000,100000,6,29.461,16.7243,1.76,0.2933
600,108000,100000,2,29.461,27.1179,1.09,0.545
600,216000,100000,4,29.461,20.735,1.42,0.355
600,270000,100000,5,29.461,18.2077,1.62,0.324
600,324000,100000,6,29.461,17.1529,1.72,0.2867
600,36000,100000,2,29.461,23.0865,1.28,0.64
600,72000,100000,4,29.461,16.6498,1.77,0.4425
600,90000,100000,5,29.461,14.8401,1.99,0.398
600,108000,100000,6,29.461,13.5935,2.17,0.3617
600,72000,100000,2,29.461,26.6068,1.11,0.555
600,144000,100000,4,29.461,19.6466,1.5,0.375
600,180000,100000,5,29.461,17.8815,1.65,0.33
600,216000,100000,6,29.461,16.7243,1.76,0.2933
600,108000,100000,2,29.461,27.1179,1.09,0.545
600,216000,100000,4,29.461,20.735,1.42,0.355
600,270000,100000,5,29.461,18.2077,1.62,0.324
600,324000,100000,6,29.461,17.1529,1.72,0.2867
600,36000,100000,2,30.1045,23.0865,1.3,0.65
600,72000,100000,4,30.1045,16.6498,1.81,0.4525
600,90000,100000,5,30.1045,14.8401,2.03,0.406
600,108000,100000,6,30.1045,13.5935,2.21,0.3683
600,72000,100000,2,30.1045,26.6068,1.13,0.565
600,144000,100000,4,30.1045,19.6466,1.53,0.3825
600,180000,100000,5,30.1045,17.8815,1.68,0.336
600,216000,100000,6,30.1045,16.7243,1.8,0.3
600,108000,100000,2,30.1045,27.1179,1.11,0.555
600,216000,100000,4,30.1045,20.735,1.45,0.3625
600,270000,100000,5,30.1045,18.2077,1.65,0.33
600,324000,100000,6,30.1045,17.1529,1.76,0.2933
600,36000,100000,2,30.1045,23.0865,1.3,0.65
600,72000,100000,4,30.1045,16.6498,1.81,0.4525
600,90000,100000,5,30.1045,14.8401,2.03,0.406
600,108000,100000,6,30.1045,13.5935,2.21,0.3683
600,72000,100000,2,30.1045,26.6068,1.13,0.565
600,144000,100000,4,30.1045,19.6466,1.53,0.3825
600,180000,100000,5,30.1045,17.8815,1.68,0.336
600,216000,100000,6,30.1045,16.7243,1.8,0.3
600,108000,100000,2,30.1045,27.1179,1.11,0.555
600,216000,100000,4,30.1045,20.735,1.45,0.3625
600,270000,100000,5,30.1045,18.2077,1.65,0.33
600,324000,100000,6,30.1045,17.1529,1.76,0.2933
600,36000,100000,2,30.1045,23.0865,1.3,0.65
600,72000,100000,4,30.1045,16.6498,1.81,0.4525
600,90000,100000,5,30.1045,14.8401,2.03,0.406
600,108000,100000,6,30.1045,13.5935,2.21,0.3683
600,72000,100000,2,30.1045,26.6068,1.13,0.565
600,144000,100000,4,30.1045,19.6466,1.53,0.3825
600,180000,100000,5,30.1045,17.8815,1.68,0.336
600,216000,100000,6,30.1045,16.7243,1.8,0.3
600,108000,100000,2,30.1045,27.1179,1.11,0.555
600,216000,100000,4,30.1045,20.735,1.45,0.3625
600,270000,100000,5,30.1045,18.2077,1.65,0.33
600,324000,100000,6,30.1045,17.1529,1.76,0.2933
600,36000,100000,2,30.1045,23.0865,1.3,0.65
