type size particles iterations skipped time num_process
c 400 16 10000 6051 0.032652 512
c 400 8 10000 6008 0.052408 1024
c 400 63 10000 5851 0.034372 128
c 400 32 10000 5903 0.034512 256
c 400 16 10000 6009 0.034118 512
c 400 8 10000 5773 0.050759 1024
c 400 63 100000 1 0.137227 128
c 400 32 100000 0 0.102029 256
c 400 16 100000 1 0.147707 512
c 400 8 100000 0 0.149809 1024
c 400 63 100000 1 0.138136 128
c 400 32 100000 0 0.128909 256
c 400 16 100000 0 0.101736 512
c 400 8 100000 2 0.161447 1024
c 400 63 100000 0 0.129918 128
c 400 32 100000 1 0.128022 256
c 400 16 100000 1 0.140375 512
c 400 8 100000 0 0.171792 1024
c 400 63 100000 0 0.124428 128
c 400 32 100000 0 0.090533 256
c 400 16 100000 0 0.151546 512
c 400 8 100000 0 0.140532 1024
c 400 125 1000 15423 0.007908 128
c 400 63 1000 15497 0.008608 256
c 400 32 1000 15848 0.008444 512
c 400 16 1000 15748 0.008109 1024
c 400 125 1000 15292 0.008172 128
c 400 63 1000 15400 0.008798 256
c 400 32 1000 15687 0.007932 512
c 400 16 1000 15620 0.007848 1024
c 400 125 1000 15239 0.007841 128
c 400 63 1000 15259 0.008427 256
c 400 32 1000 15659 0.007782 512
c 400 16 1000 15518 0.008055 1024
c 400 125 1000 15089 0.007967 128
c 400 63 1000 15048 0.008311 256
c 400 32 1000 15488 0.008442 512
c 400 16 1000 15543 0.007554 1024
c 400 125 10000 814 0.037389 128
c 400 63 10000 153 0.030992 256
c 400 32 10000 607 0.034047 512
c 400 16 10000 89 0.030813 1024
c 400 125 10000 197 0.0302 128
c 400 63 10000 70 0.029637 256
c 400 32 10000 150 0.030654 512
c 400 16 10000 0 0.024562 1024
c 400 125 10000 327 0.031078 128
c 400 63 10000 377 0.036269 256
c 400 32 10000 494 0.031735 512
c 400 16 10000 470 0.032636 1024
c 400 125 10000 386 0.0281 128
c 400 63 10000 380 0.039724 256
c 400 32 10000 122 0.029877 512
c 400 16 10000 6 0.028533 1024
c 400 125 100000 0 0.039435 128
c 400 63 100000 0 0.031977 256
c 400 32 100000 0 0.038556 512
c 400 16 100000 0 0.032088 1024
c 400 125 100000 0 0.031164 128
c 400 63 100000 0 0.030061 256
c 400 32 100000 0 0.034527 512
c 400 16 100000 0 0.034811 1024
c 400 125 100000 0 0.038291 128
c 400 63 100000 0 0.030948 256
